"combn_dim","combn_id","auc_val_posed","auc_val_spont"
2,"KLgVRP2YOdHn5XOoz9AO",0.711762295081967,0.797713414634146
2,"tEyb5Y4LyxwxS65ZWIfG",0.776081286676809,0.827661719759271
2,"MUT1W5eizyS2TQf4I78r",0.757600143061516,0.800987626832914
2,"7jZG31rMtAKdm63mYDhY",0.851177730192719,0.766816880251608
2,"ElPqg26TPqFSbCXcGpVK",0.753256880733945,0.817017347065955
2,"t9LJXydEDBlwhV5eDOfD",0.77657375336742,0.782321867321867
2,"BVyOi06DvS6dpq1ihFom",0.756033992934608,0.807033788174139
2,"mDB53B65BUoGs2wnTRQu",0.735137762961841,0.797130030463364
2,"9g1lDl3CAWWCFdlUdTMq",0.746601317692431,0.726622239309667
2,"uZdXtdmGciqZwTbeOr3b",0.729853182965519,0.815305473352325
2,"63LNIiPMcUdAy60CluGd",0.766248247737989,0.865893286540586
2,"cXMt8u5izbrFjEKPRzT8",0.848712446351931,0.776608480729126
2,"M3fmwvT3hCwQMC2JinFh",0.761688311688312,0.803431583749398
2,"RwV7Pb1GZHGmxIGUM5HM",0.763517060367454,0.789551330396009
2,"fFPwI81pZSKKUVBPE6vW",0.785990194621899,0.816575178997613
2,"1YT5KzyKu16rSkOmrhJr",0.78190503262804,0.800264982606869
2,"unkG51Fh2HJqlvXTXBQf",0.735043518094366,0.744937441238157
2,"lvokZa8oPsTqzQ0qlEEi",0.763981481481481,0.832562550950022
2,"7ebwFx37ApJ8B542ezlD",0.787256097560976,0.89
2,"leOhW4JeeymMkmnhiOKH",0.870171673819742,0.731632653061224
2,"AkTW8IK7P93Qt5ENQdB3",0.855150214592275,0.734910118997384
2,"10m1FA4KE1n2mfNQVKJ8",0.877682403433476,0.729881154499151
2,"LF595GLrlaSyQM00zFpQ",0.882226980728051,0.725586680030414
2,"X98Y4rFfnuhVS0QR8LB4",0.833690987124464,0.755796249898376
2,"AcumonC0aIT0Zyig9zgv",0.86064016004001,0.753020277916543
2,"vq7a1Q0FO4vcB9fW7kvr",0.903640256959315,0.785633484162896
2,"NF7PZrnZMEWW0aHez3oL",0.768603688042199,0.803943937418514
2,"iINOR0Gx5mK5EpZYdJu7",0.747779716889665,0.754093902954861
2,"7NKIGOOF5k1TPIyG02aA",0.749558725468405,0.766113498296044
2,"viVIBKhDJaXZYzpgeuxm",0.760297284521246,0.723868406991833
2,"gzjs2ViJjt0AmeXftfk1",0.73408525846887,0.798742064973861
2,"4II97l1RQ2EBlOjG2Tvs",0.774759651038928,0.823003275384228
2,"sazqP83DZtvtWjDqSoKr",0.767520215633423,0.761032297307904
2,"oExjBGQyHcXRZcnaWkdz",0.778113023399748,0.758089470202046
2,"3QVPCnOL9rgKuqEhkiKJ",0.762420957542909,0.71062734625953
2,"Cenxk8gbVPbVMEfKnavp",0.750204740341073,0.794155844155844
2,"GFnFXbMmZbQckxDEA9xk",0.780438723712835,0.833955385191803
2,"sbjsApdrMV4ZtUHPuPK1",0.752710735613837,0.757109733353496
2,"KZuHvI9Ge0t10O3YWoJB",0.768713581353653,0.752480823085352
2,"fcMRdb2xdfBp4NfdKGgP",0.747964255499154,0.777002700270027
2,"Uyg9WkImHhT7RCRTy9C9",0.769836378310955,0.812649911356763
2,"IrgkM4tAOAPRfquhebU7",0.773241295662101,0.724452501812908
2,"Q5dM4ELg8GNjfqutt87W",0.751259917169802,0.786430892167194
2,"s4Z7ZWr2w0gt8Jd4eTp1",0.784046137155256,0.809921919634355
2,"0Sse8GInuEoeb70SAk2h",0.753404336249525,0.766246890547264
2,"Re8i41BAS7jYORYudXik",0.782311834116165,0.760498101407192
2,"UgiCbtE5oyzc30fElG1l",0.753513394817743,0.853581729891562
3,"6RRxjYwEmJEFdzvfGH62",0.825384615384615,0.807687175438401
3,"fC0FfuheuBByLvA2INI0",0.811125229128479,0.837693042909603
3,"1g9FFow7j2cMpSJkIzXg",0.806196237499126,0.819841633618313
3,"FXjgGfVBWbO9RgUPw8NG",0.791407604471812,0.842276456167742
3,"OEDynqVts0kKWbQ49V4h",0.84206514356729,0.817124332570557
3,"Qgrawna3b9zSHbl7HtaS",0.815622460702177,0.824581341917411
3,"rOvvk19faHi53ETwSkMM",0.804437536296246,0.821119156504065
3,"kXELTn8tFjVvi5ESM2Hu",0.827525024972583,0.82598693318723
3,"se6XCtWDnIVfoL9yGvHw",0.812547792839764,0.832799019519057
3,"gWo4AM92vUGzX4tYiUNh",0.776374704243913,0.748522766770942
3,"337SQymm0UcOwMosrBe5",0.821921915413181,0.83950653365547
3,"xpc3TBwHtEyyblfegX0n",0.832001257080003,0.849499862976158
